Serial Number,NZDT,Latitude,Longitude,GPS Heading,GPS Speed
004-0009-00431,16/10/20 16:47:21,-37.5538234,175.4591559,350,1.15781105
004-0009-00431,16/10/20 16:47:20,-37.5538337,175.4591578,349,0.708449379
004-0009-00431,16/10/20 16:47:18,-37.5538462,175.4591609,353,2.534489386
004-0009-00431,16/10/20 16:47:17,-37.5538689,175.4591634,1,1.957823175
004-0009-00431,16/10/20 16:47:16,-37.5538865,175.4591631,2,0.601044112
004-0009-00431,16/10/20 16:47:14,-37.5539094,175.4591618,5,1.616887212
004-0009-00431,16/10/20 16:47:13,-37.5539239,175.4591605,10,2.263938601
004-0009-00431,16/10/20 16:47:12,-37.5539438,175.4591551,10,1.3405793
004-0009-00431,16/10/20 16:47:11,-37.5539556,175.459152,7,1.221605529
004-0009-00431,16/10/20 16:47:10,-37.5539665,175.4591503,1,1.045569696
004-0009-00431,16/10/20 16:47:08,-37.5539853,175.4591504,0,1.35840223
004-0009-00431,16/10/20 16:47:07,-37.5539975,175.4591497,3,1.204503057
004-0009-00431,16/10/20 16:47:06,-37.5540083,175.4591487,1,1.902213465
004-0009-00431,16/10/20 16:47:05,-37.5540254,175.4591484,350,1.403795027
004-0009-00431,16/10/20 16:47:04,-37.5540379,175.4591506,348,1.219105041
004-0009-00431,16/10/20 16:47:03,-37.5540486,175.4591536,353,1.179827993
004-0009-00431,16/10/20 16:47:02,-37.5540591,175.4591555,1,1.379362289
004-0009-00431,16/10/20 16:47:01,-37.5540715,175.4591553,3,0.657730285
004-0009-00431,16/10/20 16:46:59,-37.5540833,175.4591543,5,1.764559634
004-0009-00431,16/10/20 16:46:58,-37.5540991,175.4591525,4,1.960492867
004-0009-00431,16/10/20 16:46:57,-37.5541167,175.4591513,0,0.856514951
004-0009-00431,16/10/20 16:46:55,-37.5541321,175.4591511,356,1.272412294
004-0009-00431,16/10/20 16:46:54,-37.5541435,175.4591523,4,1.024260544
004-0009-00431,16/10/20 16:46:53,-37.5541527,175.4591518,7,1.953694159
004-0009-00431,16/10/20 16:46:52,-37.5541702,175.4591499,356,1.185459321
004-0009-00431,16/10/20 16:46:51,-37.5541808,175.4591513,2,0.595095884
004-0009-00431,16/10/20 16:46:49,-37.5541915,175.4591512,11,0.95152718
004-0009-00431,16/10/20 16:46:47,-37.5542082,175.4591465,4,1.136216354
004-0009-00431,16/10/20 16:46:46,-37.5542184,175.4591458,356,1.350737142
004-0009-00431,16/10/20 16:46:45,-37.5542305,175.4591471,355,1.729111233
004-0009-00431,16/10/20 16:46:44,-37.554246,175.4591486,345,0.865780909
004-0009-00431,16/10/20 16:46:42,-37.5542608,175.4591547,359,1.846415232
004-0009-00431,16/10/20 16:46:41,-37.5542774,175.4591547,358,1.391069374
004-0009-00431,16/10/20 16:46:40,-37.5542899,175.4591552,1,0.909978348
004-0009-00431,16/10/20 16:46:38,-37.5543174,175.4591505,0,0.928779536
004-0009-00431,16/10/20 16:46:36,-37.5543341,175.4591506,4,1.284251608
004-0009-00431,16/10/20 16:46:35,-37.5543456,175.4591493,6,1.399372133
004-0009-00431,16/10/20 16:46:34,-37.5543581,175.4591475,12,1.150141122
004-0009-00431,16/10/20 16:46:33,-37.5543682,175.4591447,9,1.344129615
004-0009-00431,16/10/20 16:46:32,-37.5543802,175.4591429,12,2.082546452
004-0009-00431,16/10/20 16:46:31,-37.5543985,175.4591379,5,0.591158829
004-0009-00431,16/10/20 16:46:29,-37.5544091,175.4591369,359,1.357717537
004-0009-00431,16/10/20 16:46:28,-37.5544213,175.4591374,1,1.246893214
004-0009-00431,16/10/20 16:46:27,-37.5544433,175.4591356,358,1.056692582
004-0009-00431,16/10/20 16:46:25,-37.5544623,175.4591357,0,1.846499161
004-0009-00431,16/10/20 16:46:24,-37.5544789,175.4591359,358,1.336179525
004-0009-00431,16/10/20 16:46:23,-37.5544909,175.4591366,357,1.134578447
004-0009-00431,16/10/20 16:46:22,-37.5545011,175.4591367,350,0.857733421
004-0009-00431,16/10/20 16:46:20,-37.5545163,175.45914,345,1.670755009
004-0009-00431,16/10/20 16:46:19,-37.5545307,175.4591454,357,0.862581592
004-0009-00431,16/10/20 16:46:17,-37.5545462,175.4591461,358,1.236657814
004-0009-00431,16/10/20 16:46:16,-37.5545573,175.4591469,357,1.505313509
004-0009-00431,16/10/20 16:46:15,-37.5545708,175.4591481,5,1.12010797
004-0009-00431,16/10/20 16:46:14,-37.5545808,175.4591466,4,0.57613816
004-0009-00431,16/10/20 16:46:12,-37.5545911,175.4591452,358,1.268295053
004-0009-00431,16/10/20 16:46:11,-37.5546025,175.4591455,1,1.101175349
004-0009-00431,16/10/20 16:46:10,-37.5546124,175.4591455,3,1.292186364
004-0009-00431,16/10/20 16:46:09,-37.554624,175.4591447,2,1.115776026
004-0009-00431,16/10/20 16:46:08,-37.554634,175.4591437,2,1.182317637
004-0009-00431,16/10/20 16:46:07,-37.5546446,175.4591427,1,1.234933533
